OID	File	Portion	English	廣東話口語（Colloquial Cantonese）v1028
101	Abigail	Introduction	Oh, that's right... I heard someone new was moving onto that old farm.#$e#It's kind of a shame, really. I always enjoyed exploring those overgrown fields by myself.$9	哦，咁就啱嘞，我聽講，有人要搬嗰個老農場去。 #$e#呢有啲可惜，真係。我係中意自己去探索嗰啲雜草叢生嘅田野。$9
102	Abigail	Resort_Entering	I hope a mermaid visits the beach.	我希望有人魚公主嚟探沙灘。
103	Abigail	Resort_Leaving	I'm gonna ask Willy if we can take the scenic route back.	我想問嚇Willy，我可唔可以走風景路線返去。
104	Abigail	Resort_Leaving_2	Maybe we'll see a sea monster on the way back.	或者我地會喺返嚟嘅路上睇到海怪。
105	Abigail	Resort_Shore	The beach is okay, but it gets boring pretty quick. I'd rather check out that dark jungle, or the volcano!	沙灘都唔錯，但好快就會變得，好悶。我寧願去睇下嗰條鼆嘅叢林，或者火山！
106	Abigail	Resort_Shore_2	Hmm, you think I could sneak my guinea pig onto the island?#$e#Nah, David's probably not much of a swimmer anyways.$h	哇，你話我可以將我天竺鼠偷偷帶到島上呀？#$e#不，David可能不怎麼會游泳。$h
107	Abigail	Resort_Umbrella	My skin gets burnt really easily. So I'm just gonna stay under this umbrella for a while.#$e#I like it in the shade. Too much sun makes me dizzy.	我皮膚真係好易畀燒親。所以我就喺呢把遮下一陣間。 #$e#我鍾意喺陰涼處。太多嘅陽光畀我頭暈目眩。
108	Abigail	Resort_Umbrella_2	Hey @, want to build a sand castle with me?#$e#Actually, a sand dungeon might be cooler!$h	嘿 @，想同我一齊切個沙堡嗎？#$e#其實沙地牢可能更有型！ $h
109	Abigail	Resort_Umbrella_3	Hey @, you think you could build a raft?#$e#I saw a few cool islands on the way here I want to visit.	嘿@，你覺得你可唔可以做個木筏嗎？#$e#喺離呢度慨路上我睇咗幾個好有型慨島，我想去睇睇。
110	Abigail	Resort_Wander	An island this big has got to be hiding some buried treasure.#$e#Quick, get me a shovel!#$e#Relax, I'm just kidding.$h	咁大嘅個島肯定收埋啲埋藏嘅寶藏。 #$e#快，畀我將鏟子！ #$e#放鬆啲，我只係講笑。$h
111	Abigail	Resort_Bar	Gus made me a dark purple refresher, to match my hair. It tastes great!$h	Gus畀我做咗個深紫嘅醒神劑，以配合我啲頭髮。味道好嘢！ $h
112	Abigail	Resort	Bummer... Willy says we have to stay on the beach...$s#$b#And I brought my sword and everything...$s	憎……Willy話我哋一定要留喺沙灘上……$s#$b#我重帶咗我架劍同所有嘢……$s
113	Abigail	danceRejection	That's flattering... but I'm gonna have to say no. Sorry.	呢個真係畀人受寵若驚，但我要拎話唔。對唔住。
114	Abigail	divorced	What are you doing here? Just leave me alone!$a	你喺度做咩呀？等我一個人留住！ $a
115	Abigail	dumped_Girls	Don't talk to me!$a	唔好同我講！$a
116	Abigail	secondChance_Girls	*sigh*... I can't stay mad at you anymore, @. Let's just move on with our lives.$s	*透氣*…我唔再繼續對你嬲咗，@。畀我哋繼續我哋嘅生活。$s
117	Abigail	breakUp	Oh... I... I understand. You see me as just a friend...$s#$b#I guess we weren't really a good match...$s	哦……我…我理解。你將我看作只係一個朋友……$s#$b#我想我哋唔係真正嘅對象……$s
118	Abigail	Mon	Oh, hey. Taking a break from work?	哦，嘿嘿。喺嘢之餘休息嚇？
119	Abigail	Mon2	Oh, hi!#$e#Do you ever hang out at the cemetery? It's a peaceful place to spend some time alone.	哦！ #$e#你曾經喺公墓閒逛過咩？呢個系一個寧靜嘅地方，可以獨自度過啲時間。
120	Abigail	Tue	Ugh... I'm not in a good mood right now.$s#$e#I said I'm not in a good mood... what do you want?$a	呃…我而家心情唔好。 $s#$e#我話我心情唔好……你想要咩？ $a
121	Abigail	Tue2	...*sigh*...$s#$e#I know my parents mean well, but sometimes they just cannot understand my point of view. Weren't they ever young?	…*透氣*……$s#$e#我知我阿爸阿媽係好意，但有時，佢哋就唔可以理解我嘅觀點。佢哋唔係曾經好後生嗎？
122	Abigail	Wed	Hey. Sorry in advance if I say anything rude. I didn't get much sleep last night.#$e#What do you want?	嘿，如果我講咗咩唔禮貌嘅話，唔該提前道歉。我尋晚冇乜訓教。 #$e#你想點？
123	Abigail	4	Oh, hi.	哦，你好。
124	Abigail	Thu	#$1 Abigail1#Oh no, I think my Dad's going to cook dinner tonight...$s#$e#I don't feel like doing anything today...$u	#$1 Abigail1#哦，唔好，我諗我阿爸今晚要煮飯……$s#$e#我今日唔想做咩……$u
125	Abigail	Fri	Wow, I just realized it's Friday. $u#$e#Sometimes I totally lose track of time.	哇完全唔知係星期五. $u#$e#有時我完全唔記得咗時間。
126	Abigail	Fri2	We're all going to hang out in the saloon this evening. It's kind of like a friday tradition, I guess.	今晚我哋都要喺沙龍度玩。呢有啲似星期五嘅傳統。
127	Abigail	Sat	The fresh mountain air is nice on a day like this.$h#$e#I wonder if the frogs will make an appearance soon.	喺噉嘅日子企，山里嘅新鮮空氣好好。 $h#$e#我想知青蛙係咪會好快出現。
128	Abigail	Sun	Oh man... I've been pushing off my homework all weekend. Looks like I'll be pulling another all-nighter...$s	哦，伙計…我成個週末都喺推跌我啲功課。睇嚟，我又要通宵$s……
129	Abigail	Sun2	I wonder what would happen if I spent all night in the graveyard?#$q 17/18 Sun_old#@, What do you think happens to us after we die?#$r 17 0 Sun_17#I have no idea.#$r 18 40 Sun_18#We come back as spooky ghosts.#$r 17 0 Sun_17#We go to Heaven.#$r 18 0 Sun_17#Our energy bodies enter the astral plane.#$r 17 30 Sun_nothing#Nothing. We just cease to exist.	我想知，如果我喺墓地度留一晚會發生咩？ #$q 17/18 Sun_old#@，你話我哋死後會發生咩？ #$r 17 0 Sun_17#我唔知.#$r 18 40 Sun_18#我哋扮鬼扮馬#$r 17 0 Sun_17#我哋上天堂#$r 18 0 Sun_17#我們的能量體進入星界。#$r 17 30 Sun_nothing#我哋系唔再存在。
130	Abigail	Sun_old	$p 17#I guess you think nothing would happen, right?$u|Maybe a wicked ghost would appear!	$p 17#我估你認為咩都唔會發生，對呀？ $u|或者一個邪惡嘅幽靈會出現！
131	Abigail	Sun_17	Hmm, interesting...	哇，有意思……
132	Abigail	Sun_18	Well that's an interesting theory!$h	哇，哩個有趣嘅理論！$h
133	Abigail	Sun_nothing	You know, that wouldn't be so bad.$8	你知唔知，咁又唔係咁衰。$8
134	Abigail	Wed2	Oh, hi @. Taking a break from your work?#$e#Me too. Oh! Nothing physical... just some online classes I'm taking.	哦，你好@。由你嘅工作中休息嚇？ #$e#我都係。哦！冇咩實物……只係一啲我喺度嘅在線課程。
135	Abigail	Tue4	Hi, I'm glad to see you.$h#$e#I want to take my mind off things for a while... how is your day going?	餵，我好開心見到你。 $h#$e#我想暫時忘掉我嘅嘢，你今日過得點啊？
136	Abigail	Sat6	You came all this way to visit me? That's nice.$h#$e#So have you been exploring the mountain caves at all?#$e#Interesting. I'd like to go there myself one of these days.$l	你大老遠走嚟探下我？真係好。 $h#$e#咁你有冇去探索過山窿呢？#$e#呢幾日我想自己去果度。 $l
137	Abigail	Mon8	...Oh, @! Hi.$h#$e#Want to hang out for a while? Here! Let me read your palm. *giggle* $h	…哦，@！ $h#$e#想喺出面玩一陣呀？喺呢度！俾我睇嚇你個手板。 *咯咯笑*$h
138	Abigail	Thu10	Hi.$l#$e#Do you feel like everything seems unreal lately?$l#$b#Not in a bad way, though.$h	Hi.$l#$e#你覺得最近慨一切都顯得流啊？ $l#$b#雖然唔係衰。$h
139	Abigail	Fri6	The birds were happily chirping today. They're too simple to understand the future.#$e#It's better to be like them, isn't it?	今日雀仔們開心啖鳴叫住。佢好簡單，唔識未來。 #$e#似佢哋一樣，更加好，唔係咩？
140	Abigail	Event_VideoGame_Yes	Great! I'm sure you'll be able to beat this level with ease.$h	真係好！我相信你一定可以輕鬆啖打贏呢一關。$h
141	Abigail	Event_VideoGame_No	Oh? *sigh*... I guess I'll never get past this level, then...$s	哦，*嚡嚡聲*…我諗我永遠都過唔到呢一關，咁……$s
