OID	File	Portion	English	廣東話口語（Colloquial Cantonese）v1028
219	Alex	Introduction	Oh, hey. So you're the new guy, huh? Cool.^Hey, you're the new girl, huh? I think we're going to get along great. I'm Alex.#$e#I'll see you around.	喂，你係新嚟嘅？^ 好呀，你係新嚟嘅女仔，嗯？ 我想我哋會相處得好好。 我係Alex。 #$e#我哋會拜拜面嘅。
220	Alex	Resort_Entering	Finally, we're here!	我哋終於到啦！
221	Alex	Resort_Leaving	Aw... I guess it can't last forever.$s	噢... 我諗應該唔會一直都咁。$s
222	Alex	Resort_Wander	I knew I shoulda brought a frisbee... Oh well.$h	我知我應該帶個飛碟... 哦 ， 好啊 。$h
223	Alex	Resort_Wander_2	I wonder if anyone would be up for a volleyball tournament.#$e#Don't worry, I'll go easy!$h	我想知是否有人肯參加排球比賽。 #$e#唔好擔心，我會輕鬆地去嘅！ $h
224	Alex	Resort_Shore	I wonder how far I could swim out, and still make it back?#$e#I'm guessing at least a mile.#$b#... Don't worry, I'm not going to try it.$h	我想知我可以游出去多遠，仲可唔可以游返嚟啊？ #$e#我猜至少有一英里。 #$b#唔好擔心，我唔會去嘗試嘅。 $h
225	Alex	Resort_Chair	Aren't you hot in that outfit? C'mon, man... It's the beach!^Aren't you hot in that outfit? You gotta get some ocean breeze goin'!	你着呢身衫唔熱咩？ 嚟啦... 這是沙灘！ ^你着呢身衫唔熱咩？ 你吹吹海風'！
226	Alex	Resort_Towel	With this island open, there's no excuse to be pasty anymore!	隨住呢個島嘅開放，再也沒有借口畀自己變得蒼白無力咗！
227	Alex	Resort_Towel_2	Phew, it feels good to finally get these abs a little sunlight.#$e#Kind of a shame to have them hidden away all the time back home.	唷，終於畀呢啲腹肌有咗啲陽光，感覺真係好。 #$e#喺屋企一直把佢們收埋，有點可惜。
228	Alex	Resort_Towel_3	When I go pro, I'll vacation on islands all around the world.#$e#But for now, this place will do just fine!$h	我做職業選手時，會喺世界各地嘅島嶼上度假。 #$e#但而家，呢個地方就滿意啦！ $h
229	Alex	Resort_Bar	I'm ordering a banana shake with two scoops of protein powder.	我點啦一杯香蕉奶昔，加咗兩勺蛋白粉。
230	Alex	Resort	Ah... The island life. I could get used to this!	啊...... 島上嘅生活。 我可以！
231	Alex	danceRejection	Nah... I'm gonna ask someone else. Good luck.	唔係...... 我去問人。 好彩。
232	Alex	divorced	I thought we had something special... I guess I was wrong.$s	我以為我哋有咩特別嘢... 我想我錯啦。$s
233	Alex	dumped_Guys	You're not worth my time.$a	你唔值得我花時間。$a
234	Alex	secondChance_Guys	I don't know if I can trust you anymore, but I'm willing to give you a chance.$9	我唔知我是否能再相信你，但我願意畀你一個機會。$9
235	Alex	breakUp	You're giving me wha...?$7#$b#*huff*... Got it. Alright... well, you've made your choice. You're not gonna see me begging.$a	你在給我咩......？ $7#$b#*huff*......。 明喇. 好囉...... 好啦，你有做出你的選擇。 你唔會睇到我乞求嘅。$a
236	Alex	Mon	Did you know I was an all-star quarterback in high school? It's true.$u#$e#See this little star on my jacket here? That proves it.	你知我喺高中時係個明星四分衛晒呀？ 呢個係堅嘅. $u#$e#睇到我外套上嘅呢個小星星咗呀？ 證明咗。
237	Alex	Tue	The beach is a cool place to hang out and soak up some rays.#e#You gotta spend some time in the sun or else you'll get all pale.#$e#*sigh*... I wish there were more girls in this town, know what I mean?$s^Hey, do you wanna hang out with me at the beach some time? Do you have a bikini?	沙灘係一個好酷嘅地方，可以掛出一些射線。 #e#你必須花一些時間在陽光下，否則你會變得幾蒼白。 #$e#*嘆氣*... 我希望呢個城市有更多嘅女仔，知我嘅意思呀？ $s^喂，你想唔想和我一起在沙灘上玩？ 你有比堅尼啊？
238	Alex	Wed	Looks like a good day to play catch, huh?$u#$e#$q 5/6 Wed_01_old#I'd ask you to throw the ball around, but you don't really seem like the sports type.^If you weren't a girl I'd ask you to play catch.#$r 6 0 Wed_01_02#I'm fine just watching you from a distance.#$r 5 15 Wed_01_01#I want to play catch with you!#$r 5 0 Wed_01_03#(angry) What's that supposed to mean?	今日好似打波好日子?$u#$e#$q 5/6 Wed_01_old#我想同你一齊打波，但你應該唔係運動型。^如果你係男，我會叫你去玩接球遊戲。#$r 6 0 Wed_01_02#我唔玩，係遠處望住你玩。#$r 5 15 Wed_01_01#我想同你玩接球!#$r 5 0 Wed_01_03#(生氣地)咩意思？
239	Alex	Wed_01_old	#$p 5#Go long! ...just kidding. Hahaha.|I just wish I had someone to play catch with...$s	#$p 5#去！ ... 講笑。 哈哈哈。 |我只係希望有個人可以同我一齊玩接球遊戲...$s
240	Alex	Wed_01_01	Really? I guess I underestimated you.#$b#My arm's a little sore, but maybe next time.	真係噶? 我想我低估啦你。 #$b#我的手臂有點痛，但也許下一次。
241	Alex	Wed_01_02	Yeah, some people just aren't made for sports.	系呀，有些人就係唔適合運動。
242	Alex	Wed_01_03	Uh... nevermind.	骗...... 算啦，唔講咗。
243	Alex	Thu	The air's starting to warm up... I'm feeling pumped.	空氣開始變暖啦...... 我感覺好振奮。
244	Alex	Fri	Hey, what's up farmer guy?^Hey, it's farm girl. Did you get new pants? You're doing something right.#e#Oh, I almost forgot! It's my day for doing push-ups!#e#Every time I do push-ups I try to do one more than last time. Pretty cool strategy, huh?	嘿，點呀，農夫？^ 嘿，係農場女仔。 你買咗新褲咩？ 你做得幾對。#e#哦，我差啲唔記得！ 今日係我做掌上壓嘅日子！ #e#每次我做掌上壓嘅時候，我都想比上次多做一個。 好酷嘅策略，係啩？
245	Alex	Sat	My arms are really sore, but that's the sign of progress for a guy like me.#e#I must've done a thousand push-ups yesterday.	我嘅手臂真係好酸，但係好似我咁樣嘅人進步嘅標誌。 #e#我昨天肯定做咗一千多个掌上壓。
246	Alex	Sun	Hey.#$e#What, you wanna talk to me? I'm busy.	嘿。 #$e#咩，你想和我說話？ 我好忙.
247	Alex	Sun2	Hey, @.#$e#That's right, I remember your name.	嘿 ，@.#$e#我記得你個名。
248	Alex	Sun4	Hey, @.#$e#How's your day going?	點呀@.#$e#你今日點呀?
249	Alex	Fri4	Hey, @. I'm glad you stopped by.#e#I'm not ashamed to say that I love my Grandma!#$e#Now Grandpa, on the other hand...#$e#Just kidding.$h	嘿，@. 我好开心你停落嚟。 #$e#我唔羞於話我愛我的婆婆！ #$e#而家阿公，在另一方面...#$e#只係講笑。$h
250	Alex	Tue6	Nothing's better than an energetic day at the beach with your friends... right?	冇乜嘢過同朋友一齊喺沙灘上精力充沛地度過一日仲好咗... 啱唔啱呀?
251	Alex	Mon8	You know, I used to want fame and fortune, but lately I've been starting to sing a different tune. In the end it's the humble little things that satisfy, don't you think?#$e#I still want to go pro, but it's not the most important thing in the world.	你知唔知我曾經想要名利，但呢排我開始唱起咗唔同嘅調子。最終系啲卑微嘅小事畀人滿意，你唔覺得呀？ #$e#我仍然想做職業選手，但唔係世界上最重要嘅嘢。
252	Alex	Fri8	Hi @. You look sporty today.$h^Hey @. Did you do something different with your hair? Something keeps grabbing my attention.$h	你好 @. 你今日好似好運動。 $h^喂 @。你對你啲頭髮做咗啲唔同嘅處理嗎？有乜嘢一直裝住我$h
253	Alex	Sat10	I've been having a hard time staying focused lately.$l	我呢排好難保持focus。 $l
254	Alex	Event_beach1	Of course you do. If you didn't I'd think you were crazy. Or some kind of nerd.	你梗系會啖做。如果你唔啖做，我會認為你係癲佬。或者係毒男。
255	Alex	Event_beach2	Really? You must be some kind of weirdo.$a#$b#Sorry.	真係咩？你一定係某種怪人。 $a#$b#對唔住。
256	Alex	Event_books1	No, I'm not! You're just trying to flatter me.$a	唔係，我唔係！你只係想奉承我。$a
257	Alex	Event_books2	Yeah, I guess you're right...$s	係呀，我想你係啱嘅……$s
258	Alex	Event_books3	You were supposed to disagree with me.$a	你應該系唔同意我嘅觀點。$a
259	Alex	event_box1	Yes... I know. That's why I've been so determined to be successful with my sports stuff...$9#$b#Make it or not... As long as I try my hardest I think she'd be proud. Thanks.	系呀……。我知。呢就係點解我一直堅定地要喺體育嘅嘢上取得成功……$9#$b#無論有冇成功……。只要我盡力，我想佢會覺得牙擦嘅。多謝。
260	Alex	event_box2	Wow... It's the anniversary of my Mom's death! Have a heart...$a	哇，今日系我媽媽嘅忌日！有心喇……$a
261	Alex	event_box3	...Thanks, @.#$b#You... you're different than the other guys. More sensitive.$l^You've become my best friend in the whole town... #$b#I'm glad.^Is that embarrassing to say?$l	…多謝，@.#$b#你……你同其佢嘅人唔一樣。更加敏感。 $l^你已經成為我喺成鎮上最好嘅朋友……#$b#我好開心。 ^啖話好尷尬啊？ $l
262	Alex	event_box4	That doesn't make me feel any better, jerk.$a	呢並冇畀我感覺重好，扑街。$a
263	Alex	Event_parents1	That's an interesting thought...	哩個得意嘅諗法……
264	Alex	Event_parents2	They would never do that!$a	佢哋絕對唔會咁做嘅！ $a
265	Alex	Event_parents3	...Maybe you're right... I dunno.$s	或者你係啱嘅，我唔知。 $s
266	Alex	summer_1	Hey. Summer is definitely the best time of year.#$e#Right now is great because we've got the whole season to look forward to. Catch you later.	嘿，夏天絕對系一年中最大好嘅光。 #$e#而家就好好，因為我哋有成季嘅等咗好耐。遲啲再嚟揾你。
267	Alex	summer_Mon	Hey, farmer guy. You look a little burnt.^Hey Farmer girl. You've got a nice tan going.$h#$e#The more I practice this summer, the easier it'll be for me to go pro.#$e#Then you'd be able to say you knew me once. Cool, huh?	嘿，農夫。你好似有啲燒燶咗。 ^喂，農夫。你皮膚曬得好好。 $h#$e#呢個夏天我練得多，我就越易成為職業選手。 #$e#嗰陣你就可以話你曾經識我。好有型，系嘛？
268	Alex	summer_Tue	If my hair wasn't so popular with the ladies, I swear I'd shave it all off in a second.#$e#*sigh*... Life can be tough.	如果我啲頭髮唔係咁受女士們歡迎，我發誓我會喺一秒鐘內將佢全部鏟左。#$e#*嘆氣*生活可能好艱難。
269	Alex	summer_Wed	Hey farm guy, I've got a question for you.^Hey Farm girl, I've got a question for you.#$b#$q 52/53 summer_Wed_01_old#Do you think I'll ever turn pro?#$r 52 30 summer_Wed_01_01#You're destined to be a sports legend#$r 52 0 summer_Wed_01_02#Maybe, if you practice a lot#$r 53 -50 summer_Wed_01_03#No, you'll most likely fail and become a salesman	嘿，農夫，我有個問題要問你。 ^嘿，農場女仔，我有個問題要問你。 #$b#$q 52/53 summer_Wed_01_old#你覺得我會成為職業選手嗎？#$r 52 30 summer_Wed_01_01#你注定會成為一個體育傳奇 #$r 52 0 summer_Wed_01_02#也许，如果你練習幾多 #$r 53 -50 summer_Wed_01_03#你可能會失敗，成為一個推銷員
270	Alex	summer_Wed_01_old	$p 52#Hey, when I turn pro you can say you were my first \"fan\". Not bad, huh?|Hey, I've been practicing twice as hard so I can turn pro and prove you wrong. You just wait.$a	$p 52#嘿，当我變成職業球員嘅時候，你可以話你係我嘅第一個 \"fan\"。 係咪唔錯？|嘿，我一直在努力練習，這樣我就能成為職業選手，證明你係錯嘅。 你只係等待。$a
271	Alex	summer_Wed_01_01	Hey, now that's what I'm talking about!$h#$e#You're cooler than I thought.	嘿，我講嘅就係呢個$h#$e#你比我想象中更形。
272	Alex	summer_Wed_01_02	Yeah, well I'm so good I'm not going to have to practice all that much.$u	我幾好，我唔需要練習咁多，$u
273	Alex	summer_Wed_01_03	That's insane. You're just jealous that I'm talented and popular and you're not.$a^That's ridiculous. You're just jealous that I'm way more popular than you'll ever be, freak.$a#$e#Get away from me.$a	痴線。 你只係嫉妒我有才華又受歡迎，而你冇。 $a ^ 荒謬。 你只係嫉妒我比你更受歡迎，怪人。$a#$e# 離我遠啲$a
274	Alex	summer_Thu	Hey, you must be getting pretty strong working on that farm all day.^Hey, you must be getting pretty fit working on that farm all day.#$e#Maybe you'll reach my level some day. Something to look forward to, huh?#$e#Why do you have that look on your face?	你喺農場做咗成日野，一定好強壯啦。 ^嘿，你成日喺農場做嘢，一定變得好健康咗。 #$e#或者有一日你會達到我嘅水平。 有值得期待的事，係啩？ #$e#你臉上做乜嘢有呢種表情？
275	Alex	summer_Fri	What do you want?#$e#I've got more important things to do right now.	你想要乜嘢? #$e#我而家有更重要嘅事要做。
276	Alex	summer_Sat	Mmmm... I smell a barbeque.#$e#Damn I could go for a burger.	嗯...... 我聞到燒烤嘅味道。#$e# 頂，我真係想去食個漢堡。
277	Alex	summer_Sun	I got these new shoes yesterday 'cuz my old pair had a brown smudge.#$b#I just threw them into the garbage. I would've donated them but I don't like the idea of some weirdo wearing my shoes, ya know?#$e#...What?$a	我昨天買咗呢对新鞋，因為我嘅舊鞋子上有棕色嘅污漬。 #$b#我只係將佢哋扔入咗垃圾桶。 我本想把佢們捐啦，但我唔鍾意畀怪人着我嘅鞋，#$e#你知唔知 $a
278	Alex	summer_Sun4	Oh wow...your shoes are a little dirty... but that's fine, too!#$e#Different people have different tastes I guess.	哦 嘩 ... 你嘅鞋有啲污糟... 但這也沒關係！#$e# 我想不同嘅人有不同嘅品味。
279	Alex	summer_Thu4	Hey, you look like you're getting into some good shape this summer!#$b#All that farm work is paying off, huh?	嘿，你呢個夏天睇嚟身材唔錯呀！ #$b#所有嘅農活都有回報晒，係啩？
280	Alex	summer_Mon4	Hey, nice tan.	嘿，晒得幾靚。
281	Alex	summer_Fri6	Sorry my room is so messy.$s#$e#It's just hard to always remember to clean. I'm trying to get better, though.	对唔住，我的房間太亂啦。 $s#$e#只係好難成日記得清潔。 不過我正在努力變好。
282	Alex	summer_Wed8	You know, I actually wouldn't mind being a farmer... it seems a lot like playing sports, in a way.#$e#I like being outdoors and doing things with my hands.	你知道嗎，我其實不介意當個農民...... 在某種程度上，睇嚟似足運動。 #$e#我中意喺戶外，用我隻手做事情。
283	Alex	summer_Sat10	I've been trying to do more reading lately... I feel like I've been neglecting my brain for years because of my athletic obsession.	呢排我試著多讀點書。 我覺得我多年嚟一直忽視啦我的大腦，因為我對運動嘅癡迷。
284	Alex	fall_1	Sure, it's getting colder... But it's still warm enough for sports!#$e#That's all I care about.	當然，天氣越來越冷啦...... 但佢仍然足夠温暖嘅運動！#$e# 我只關心呢個。
285	Alex	fall_Mon	My Grandma told me I should spend more time studying.#$e#I was like, '...Grams, don't fret. I'm turning pro!'$h#$e#Studying is for nerds, anyway.	我婆婆告訴我我應該花更多嘅時間學習。#$e# 我當時的反應是，唔使擔心。 我將職業！ 唔理點講，'$h#$e#學習係咪家嘅事。
286	Alex	fall_Wed	Hey, I want to ask you something.^Hey, can I ask you something?#$e#$q 54/55 fall_Wed_01_old#Do you think the ladies like my haircut?^What do you think about my haircut?#$r 54 30 fall_Wed_01_01#It looks very fashionable.#$r 55 -30 fall_Wed_01_02#It looks like some kind of fungal growth.	我想問你點事。^ 嘿，我可唔可以問你件事啊？ #$e#$q 54/55 fall_Wed_01_old#你覺得女士們喜歡我的髮型嗎？ ^你覺得我嘅髮型咩環境呀？#$r 54 30 fall_Wed_01_01#睇嚟好摩登。#$r 55 -30 fall_Wed_01_02# 睇嚟好似某種真菌生長。
287	Alex	fall_Wed_01_old	I put too much gel in my hair today. It kind of hurts.#$e#Don't touch it!#$e#...what?	我今日喺頭髮上涂啦太多嘅髮膠。 有啲痛。#$e#唔好掂！#$e#... 咩話?
288	Alex	fall_Wed_01_01	Yeah, I know. That's why I have it like this.	係嘅 我知。 所以我先將佢攪成噉。
289	Alex	fall_Wed_01_02	Yeah right. You're just jealous that I look so good.	係啊對嘅。 你只係嫉妒我咁靚。
290	Alex	fall_Thu	What's up?#$e#Isn't your name, like, %firstnameletter%name, or something?#$e#Oh. It's @? Okay. Sorry.	點呀? #$e#你個名唔係好似%firstnameletter%name之類嘅啊？#$e#@嗎？ 好。 對唔住。
291	Alex	fall_Fri	I'm going to do two hundred sit-ups tonight.#$b#I'm pretty dedicated, aren't I?$h#$e#Need anything else?	我今晚要做200个仰臥起坐。#$b# 我好敬業，唔系吗？ $h#$e#需要别的吗？
292	Alex	fall_Sat	I think you can find salmon in the river this time of year.#$e#At least that's what I heard.	我想你每年呢個時候都能在河裏搵到三文魚。#$e# 至少我係咁聽講嘅。
293	Alex	fall_Sun	Hey, the gridball game is on today!#e#Sundays are pretty awesome in the fall.$u	嘿，今日係網格球比賽！#e#秋天嘅星期日真係太好啦$u
294	Alex	fall_Thu2	What's up, @?	點呀，@？
295	Alex	fall_Fri6	I'm going to do a ton of sit-ups tonight.#$e#You have to work really hard if you want to achieve your maximum potential.	我今晚要做好多仰臥起坐。#$e# 如果你想發揮你嘅最大潛力，你必須非常努力咁工作。
296	Alex	fall_Mon4	My Grandma told me I should spend more time studying.#$e#Maybe she's right...$s	我婆婆告訴我我應該花更多嘅時間學習。 #$e#或者佢啱... $s
297	Alex	fall_Wed8	I finally took the plunge... I've decided to stop putting gel in my hair.#$e#I wouldn't want to be friends with someone who only liked me because I have gel in my hair.	我終於冒險啦...... 我決定唔再往頭髮上塗髮膠啦。 #$e#我唔想同一個只因為我頭髮沾咗髮膠而鍾意我嘅人做朋友。
298	Alex	fall_Thu10	@! Um... Hi.$l	@！嗯... 嗨。$l
299	Alex	winter_1	Winter is kind of lame. There's too much snow to do anything fun.#$e#I guess some people like it.	冬天有啲無聊。 好多雪，乜嘢好玩嘅都做不啦。#$e# 我諗應該有人會鍾意。
